ชื่อเต็ม (ตามประกาศ),คณะ,มหาวิทยาลัย,สาขา,ภูมิภาค,ประเภท,สูงสุด,ต่ำสุด,เฉลี่ย
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,สัตวแพทยศาสตร์,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,ปกติ,ใต้,รัฐบาล,56.2869,50.6428,52.9166
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์,สัตวแพทยศาสตร์,มหาวิทยาลัยสงขลานครินทร์,ปกติ,ใต้,รัฐบาล,65.6033,56.938,58.7373
คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),สัตวแพทยศาสตร์,มหาวิทยาลัยเวสเทิร์น,ปกติ,กลางและ กทม.,เอกชน,40.6926,40.6926,40.6926
คณะเภสัชศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย (สาขาวิชาการบริบาลทางเภสัชกรรม),เภสัชศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,การบริบาลทางเภสัชกรรม,กลางและ กทม.,รัฐบาล,72.7689,64.1074,65.7581
คณะเภสัชศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย (สาขาวิชาเภสัชกรรมอุตสาหการ),เภสัชศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,เภสัชกรรมอุตสาหการ,กลางและ กทม.,รัฐบาล,78.6827,64.6655,62.838
คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล,เภสัชศาสตร์,มหาวิทยาลัยมหิดล,ปกติ,กลางและ กทม.,รัฐบาล,74.4896,62.943,64.5637
คณะเภสัชศาสตร์ มหาวิทยาลัยเชียงใหม่,เภสัชศาสตร์,มหาวิทยาลัยเชียงใหม่,ปกติ,เหนือ,รัฐบาล,65.3288,59.0982,60.5531
คณะเภสัชศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ (สาขาวิชาการบริบาลทางเภสัชกรรม),เภสัชศาสตร์,มหาวิทยาลัยศรีนครินทรวิโรฒ,การบริบาลทางเภสัชกรรม,กลางและ กทม.,รัฐบาล,61.6929,59.6369,60.6122
คณะเภสัชศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ (สาขาวิชาเภสัชกรรมอุตสาหการ),เภสัชศาสตร์,มหาวิทยาลัยศรีนครินทรวิโรฒ,เภสัชกรรมอุตสาหการ,กลางและ กทม.,รัฐบาล,61.9096,58.8807,59.9657
คณะเภสัชศาสตร์ มหาวิทยาลัยธรรมศาสตร์,เภสัชศาสตร์,มหาวิทยาลัยธรรมศาสตร์,ปกติ,กลางและ กทม.,รัฐบาล,62.8217,61.6502,62.1789
คณะเภสัชศาสตร์ มหาวิทยาลัยมหาสารคาม (สาขาวิชาการบริบาลทางเภสัชกรรม),เภสัชศาสตร์,มหาวิทยาลัยมหาสารคาม,การบริบาลทางเภสัชกรรม,ตะวันออกเฉียงเหนือ,รัฐบาล,60.6593,56.8871,58.0772
คณะเภสัชศาสตร์ มหาวิทยาลัยบูรพา,เภสัชศาสตร์,มหาวิทยาลัยบูรพา,ปกติ,ตะวันออก,รัฐบาล,60.5018,54.6492,56.2524
คณะเภสัชศาสตร์ มหาวิทยาลัยสยาม (สถาบันเอกชน) (สาขาวิชาการบริบาลทางเภสัชกรรม),เภสัชศาสตร์,มหาวิทยาลัยสยาม,การบริบาลทางเภสัชกรรม,กลางและ กทม.,เอกชน,54.2559,44.6124,47.9715
คณะเภสัชศาสตร์ มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ (สถาบันเอกชน),เภสัชศาสตร์,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,ปกติ,กลางและ กทม.,เอกชน,55.2255,51.0164,52.7115
คณะเภสัชศาสตร์ มหาวิทยาลัยพายัพ (สถาบันเอกชน) (สาขาวิชาการบริบาลทางเภสัชกรรม),เภสัชศาสตร์,มหาวิทยาลัยพายัพ,การบริบาลทางเภสัชกรรม,เหนือ,เอกชน,55.9783,47.9374,50.9126
คณะเภสัชศาสตร์ มหาวิทยาลัยอุบลราชธานี (สาขาวิชาการบริบาลทางเภสัชกรรม),เภสัชศาสตร์,มหาวิทยาลัยอุบลราชธานี,การบริบาลทางเภสัชกรรม,ตะวันออกเฉียงเหนือ,รัฐบาล,59.6298,57.9188,58.3864
คณะเภสัชศาสตร์ มหาวิทยาลัยอุบลราชธานี (สาขาวิชาเภสัชกรรมอุตสาหการ),เภสัชศาสตร์,มหาวิทยาลัยอุบลราชธานี,เภสัชกรรมอุตสาหการ,ตะวันออกเฉียงเหนือ,รัฐบาล,57.698,56.3169,56.9119
คณะเภสัชศาสตร์ มหาวิทยาลัยสงขลานครินทร์ (สาขาวิชาเภสัชกรรมอุตสาหการ),เภสัชศาสตร์,มหาวิทยาลัยสงขลานครินทร์,เภสัชกรรมอุตสาหการ,ใต้,รัฐบาล,62.9131,58.3518,59.6713
คณะเภสัชศาสตร์ มหาวิทยาลัยสงขลานครินทร์ (สาขาวิชาการบริบาลทางเภสัชกรรม),เภสัชศาสตร์,มหาวิทยาลัยสงขลานครินทร์,การบริบาลทางเภสัชกรรม,ใต้,รัฐบาล,65.5981,60.6981,62.5255
คณะเภสัชศาสตร์ มหาวิทยาลัยขอนแก่น (หลักสูตรไทย),เภสัชศาสตร์,มหาวิทยาลัยขอนแก่น,หลักสูตรไทย,ตะวันออกเฉียงเหนือ,รัฐบาล,67.3186,61.3029,62.402
คณะเภสัชศาสตร์ มหาวิทยาลัยศิลปากร,เภสัชศาสตร์,มหาวิทยาลัยศิลปากร,ปกติ,กลางและ กทม.,รัฐบาล,62.575,61.4287,61.9125
คณะเภสัชศาสตร์ มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),เภสัชศาสตร์,มหาวิทยาลัยเวสเทิร์น,ปกติ,กลางและ กทม.,เอกชน,-,-,-
